,Date,film_sum
0,2015-01-09,1.0
4,2015-01-16,3.0
14,2015-01-23,3.0
24,2015-01-30,3.0
34,2015-02-06,3.0
44,2015-02-13,2.0
51,2015-02-20,2.0
58,2015-02-27,2.0
65,2015-03-06,2.0
72,2015-03-13,3.0
82,2015-03-20,2.0
89,2015-03-27,3.0
99,2015-04-01,1.0
103,2015-04-03,1.0
107,2015-04-10,1.0
111,2015-04-17,4.0
124,2015-04-24,2.0
131,2015-05-01,1.0
135,2015-05-08,1.0
139,2015-05-15,2.0
146,2015-05-22,2.0
153,2015-05-29,2.0
160,2015-06-03,1.0
164,2015-06-05,2.0
171,2015-06-12,1.0
175,2015-06-19,2.0
182,2015-06-26,2.0
189,2015-07-01,2.0
196,2015-07-10,3.0
206,2015-07-17,2.0
213,2015-07-24,3.0
223,2015-07-29,1.0
227,2015-07-31,1.0
231,2015-08-07,3.0
241,2015-08-14,2.0
248,2015-08-19,1.0
252,2015-08-21,3.0
262,2015-08-28,2.0
269,2015-09-02,2.0
276,2015-09-04,2.0
283,2015-09-11,1.0
287,2015-09-18,4.0
300,2015-09-25,2.0
307,2015-10-02,1.0
311,2015-10-09,3.0
321,2015-10-16,3.0
331,2015-10-23,5.0
347,2015-10-30,2.0
354,2015-11-06,2.0
361,2015-11-13,3.0
371,2015-11-20,3.0
381,2015-11-25,3.0
391,2015-12-04,1.0
395,2015-12-11,1.0
399,2015-12-18,3.0
409,2015-12-25,4.0
422,2016-01-08,1.0
426,2016-01-15,3.0
436,2016-01-22,2.0
443,2016-01-29,3.0
453,2016-02-05,2.0
460,2016-02-12,3.0
470,2016-02-19,1.0
474,2016-02-26,5.0
490,2016-03-04,4.0
503,2016-03-11,2.0
510,2016-03-18,2.0
517,2016-03-25,2.0
524,2016-04-01,3.0
534,2016-04-08,2.0
541,2016-04-15,3.0
551,2016-04-22,2.0
558,2016-04-29,2.0
565,2016-05-06,1.0
569,2016-05-13,2.0
576,2016-05-20,3.0
586,2016-05-27,2.0
593,2016-06-03,2.0
600,2016-06-10,3.0
610,2016-06-17,2.0
617,2016-06-24,4.0
630,2016-07-01,3.0
640,2016-07-08,3.0
650,2016-07-13,1.0
654,2016-07-15,1.0
658,2016-07-22,3.0
668,2016-07-27,1.0
672,2016-07-29,2.0
679,2016-08-05,2.0
686,2016-08-12,2.0
693,2016-08-19,4.0
706,2016-08-26,3.0
716,2016-09-02,3.0
726,2016-09-09,2.0
733,2016-09-16,3.0
743,2016-09-23,3.0
753,2016-09-30,2.0
760,2016-10-07,2.0
767,2016-10-14,1.0
771,2016-10-21,3.0
781,2016-10-28,1.0
785,2016-11-04,3.0
795,2016-11-11,3.0
805,2016-11-18,3.0
815,2016-11-23,4.0
828,2016-11-25,1.0
832,2016-12-02,1.0
836,2016-12-09,1.0
840,2016-12-16,3.0
850,2016-12-21,4.0
863,2016-12-23,1.0
867,2016-12-25,1.0
